worker_id,skill,skill_match,distance,availability,experience,rating,workload,experience_score,rating_score,distance_score,workload_score,match_score,selected
24,Electrical,1,8.22,1,11,3.6,9,0.55,0.72,0.589,0.09999999999999998,75.48,1
25,Gardening,1,15.25,1,8,3.7,1,0.4,0.74,0.23750000000000004,0.9,75.14999999999999,1
26,Painting,1,9.36,1,19,3.8,4,0.95,0.76,0.532,0.6,83.74,1
27,Cleaning,1,8.54,1,13,4.4,0,0.65,0.8800000000000001,0.5730000000000001,1.0,86.76,1
28,Plumbing,1,18.73,1,12,3.8,5,0.6,0.76,0.0635,0.5,69.87,1
29,Plumbing,1,5.39,1,5,3.9,1,0.25,0.78,0.7305,0.9,83.91000000000001,1
30,Carpentry,1,2.85,1,6,3.5,3,0.3,0.7,0.8574999999999999,0.7,84.14999999999999,1
31,Carpentry,1,11.9,0,4,3.7,5,0.2,0.74,0.405,0.5,57.50000000000001,0
32,Electrical,1,19.4,1,19,3.5,9,0.95,0.7,0.030000000000000027,0.09999999999999998,68.1,1
33,Cleaning,1,7.87,1,20,3.1,10,1.0,0.62,0.6065,0.0,78.32999999999998,1
34,Cleaning,1,1.71,1,1,4.2,7,0.05,0.8400000000000001,0.9145,0.30000000000000004,80.19000000000001,0
35,Gardening,1,7.12,1,20,4.3,7,1.0,0.86,0.644,0.30000000000000004,84.48,0
36,Gardening,0,10.37,1,17,4.2,10,0.85,0.8400000000000001,0.48150000000000004,0.0,41.53000000000001,1
37,Gardening,1,3.66,1,12,3.9,5,0.6,0.78,0.817,0.5,85.14000000000001,1
38,Carpentry,1,13.33,1,15,3.8,3,0.75,0.76,0.3335,0.7,78.77,1
39,Cleaning,0,19.96,1,1,4.7,7,0.05,0.9400000000000001,0.0020000000000000018,0.30000000000000004,27.940000000000005,0
40,Cleaning,1,9.31,1,14,4.0,7,0.7,0.8,0.5345,0.30000000000000004,78.69,1
41,Plumbing,1,7.42,1,6,4.0,9,0.3,0.8,0.629,0.09999999999999998,74.58,1
42,Carpentry,1,8.31,1,5,3.1,0,0.25,0.62,0.5845,1.0,80.39,1
43,Painting,1,2.75,1,11,3.7,3,0.55,0.74,0.8625,0.7,87.14999999999999,1
44,Carpentry,1,17.72,0,4,3.8,3,0.2,0.76,0.1140000000000001,0.7,53.88,0
45,Painting,1,8.59,0,13,3.8,6,0.65,0.76,0.5705,0.4,64.51,1
46,Plumbing,0,8.05,1,11,4.2,10,0.55,0.8400000000000001,0.5974999999999999,0.0,40.849999999999994,1
47,Electrical,1,13.36,1,3,4.1,6,0.15,0.82,0.3320000000000001,0.4,70.34,1
48,Cleaning,1,9.12,1,1,4.2,10,0.05,0.8400000000000001,0.544,0.0,69.78,1
49,Plumbing,1,13.14,1,6,4.5,7,0.3,0.9,0.34299999999999997,0.30000000000000004,71.86,1
50,Cleaning,1,1.7,0,18,4.6,10,0.9,0.9199999999999999,0.915,0.0,71.5,1
51,Gardening,1,16.37,1,10,4.4,4,0.5,0.8800000000000001,0.1815,0.6,73.43000000000002,0
52,Electrical,1,18.84,1,5,4.9,6,0.25,0.9800000000000001,0.05800000000000005,0.4,67.46,0
53,Electrical,0,13.15,1,10,3.0,7,0.5,0.6,0.3425,0.30000000000000004,35.85,1
54,Plumbing,0,19.11,1,12,3.4,8,0.6,0.6799999999999999,0.044499999999999984,0.19999999999999996,30.69,1
55,Electrical,1,3.45,1,2,3.0,2,0.1,0.6,0.8275,0.8,81.55000000000001,1
56,Painting,1,9.81,0,13,4.3,2,0.65,0.86,0.5095,0.8,68.28999999999998,0
57,Electrical,1,12.24,1,8,4.8,3,0.4,0.96,0.388,0.7,78.36,1
58,Cleaning,1,11.84,1,2,3.5,4,0.1,0.7,0.40800000000000003,0.6,72.16,1
59,Cleaning,0,8.33,1,20,4.9,9,1.0,0.9800000000000001,0.5835,0.09999999999999998,47.470000000000006,0
60,Cleaning,1,7.09,1,1,3.1,0,0.05,0.62,0.6455,1.0,79.60999999999999,1
61,Cleaning,1,2.97,0,5,4.9,6,0.25,0.9800000000000001,0.8514999999999999,0.4,68.33,1
62,Painting,1,8.14,1,9,3.7,8,0.45,0.74,0.593,0.19999999999999996,75.75999999999999,1
63,Carpentry,1,3.67,1,17,3.2,7,0.85,0.64,0.8165,0.30000000000000004,84.23,1
64,Gardening,1,14.82,1,9,4.0,4,0.45,0.8,0.259,0.6,73.68,1
65,Plumbing,0,4.57,1,11,3.5,3,0.55,0.7,0.7715,0.7,49.93,0
66,Cleaning,1,1.64,0,15,3.6,6,0.75,0.72,0.918,0.4,72.06,1
67,Electrical,1,11.27,1,6,3.6,4,0.3,0.72,0.4365,0.6,74.92999999999998,1
68,Cleaning,1,12.11,0,3,4.6,6,0.15,0.9199999999999999,0.3945000000000001,0.4,57.59000000000001,0
69,Electrical,1,17.5,1,17,4.1,0,0.85,0.82,0.125,1.0,79.19999999999999,1
70,Gardening,0,11.75,1,5,3.6,0,0.25,0.72,0.4125,1.0,42.95,1
71,Gardening,0,7.24,1,12,4.2,9,0.6,0.8400000000000001,0.638,0.09999999999999998,43.160000000000004,1
72,Gardening,1,16.16,1,18,4.4,2,0.9,0.8800000000000001,0.19199999999999995,0.8,79.64,1
73,Electrical,1,11.04,0,14,3.5,10,0.7,0.7,0.44800000000000006,0.0,57.95999999999999,1
74,Cleaning,0,2.05,1,11,3.8,1,0.55,0.76,0.8975,0.9,55.05,0
75,Gardening,0,11.53,1,9,3.2,1,0.45,0.64,0.4235,0.9,43.370000000000005,1
76,Painting,0,18.21,1,2,3.4,6,0.1,0.6799999999999999,0.08949999999999991,0.4,28.589999999999993,1
77,Electrical,1,8.23,0,12,4.4,9,0.6,0.8800000000000001,0.5885,0.09999999999999998,62.570000000000014,0
78,Electrical,0,6.28,1,3,3.4,1,0.15,0.6799999999999999,0.6859999999999999,0.9,46.02,0
79,Cleaning,1,3.3,1,3,4.1,10,0.15,0.82,0.835,0.0,76.4,1
80,Electrical,1,3.45,1,1,4.4,3,0.05,0.8800000000000001,0.8275,0.7,82.85,1
81,Electrical,1,8.94,1,8,3.2,1,0.4,0.64,0.553,0.9,80.46000000000001,0
82,Gardening,0,12.12,1,8,4.1,5,0.4,0.82,0.394,0.5,40.080000000000005,1
83,Cleaning,1,2.07,1,11,3.5,7,0.55,0.7,0.8965,0.30000000000000004,83.43,1
84,Gardening,0,18.82,0,9,4.9,9,0.45,0.9800000000000001,0.05899999999999994,0.09999999999999998,16.480000000000004,0
85,Gardening,1,15.23,1,5,4.0,3,0.25,0.8,0.23849999999999993,0.7,72.27,1
86,Cleaning,1,11.94,0,14,4.6,4,0.7,0.9199999999999999,0.403,0.6,65.25999999999999,1
87,Plumbing,1,16.65,1,3,4.1,3,0.15,0.82,0.1675000000000001,0.7,70.04999999999998,0
88,Gardening,1,2.06,1,5,3.1,2,0.25,0.62,0.897,0.8,84.64,1
89,Painting,1,9.8,0,5,4.3,4,0.25,0.86,0.51,0.6,62.3,0
90,Painting,1,12.79,1,19,4.9,8,0.95,0.9800000000000001,0.36050000000000004,0.19999999999999996,78.50999999999999,1
91,Electrical,1,16.66,0,14,4.2,7,0.7,0.8400000000000001,0.16700000000000004,0.30000000000000004,56.74,1
92,Painting,1,15.78,1,4,4.6,7,0.2,0.9199999999999999,0.21100000000000008,0.30000000000000004,68.42,0
93,Electrical,1,5.9,1,13,4.8,7,0.65,0.96,0.705,0.30000000000000004,83.2,1
94,Plumbing,1,18.85,0,10,3.5,7,0.5,0.7,0.057499999999999885,0.30000000000000004,51.15,0
95,Cleaning,1,2.92,1,18,3.4,6,0.9,0.6799999999999999,0.854,0.4,86.88,1
96,Cleaning,1,17.57,1,8,4.2,7,0.4,0.8400000000000001,0.12149999999999994,0.30000000000000004,67.83000000000001,1
97,Cleaning,1,19.43,1,8,3.8,10,0.4,0.76,0.02849999999999997,0.0,62.169999999999995,1
98,Painting,1,3.95,0,7,4.7,7,0.35,0.9400000000000001,0.8025,0.30000000000000004,66.95,1
99,Plumbing,1,14.58,1,8,4.8,7,0.4,0.96,0.271,0.30000000000000004,72.02000000000001,1
100,Painting,1,1.29,1,14,3.7,9,0.7,0.74,0.9355,0.09999999999999998,84.11,1
101,Painting,0,8.41,1,19,3.5,6,0.95,0.7,0.5795,0.4,47.089999999999996,0
102,Plumbing,1,10.57,0,6,4.6,0,0.3,0.9199999999999999,0.47150000000000003,1.0,66.63,1
103,Plumbing,1,11.82,0,1,3.5,3,0.05,0.7,0.40900000000000003,0.7,57.679999999999986,1
104,Plumbing,1,18.75,1,15,4.6,3,0.75,0.9199999999999999,0.0625,0.7,74.94999999999999,1
105,Plumbing,1,13.61,1,1,3.8,4,0.05,0.76,0.3195,0.6,70.49000000000001,0
106,Cleaning,1,9.88,0,17,4.3,9,0.85,0.86,0.506,0.09999999999999998,63.22,1
107,Carpentry,0,16.29,1,1,3.2,5,0.05,0.64,0.1855,0.5,30.61,0
108,Carpentry,1,19.04,1,15,4.2,3,0.75,0.8400000000000001,0.04800000000000004,0.7,73.86,0
109,Plumbing,0,0.93,1,2,3.9,1,0.1,0.78,0.9535,0.9,51.870000000000005,1
110,Carpentry,0,19.66,1,14,4.2,5,0.7,0.8400000000000001,0.017000000000000015,0.5,35.74,0
111,Carpentry,1,2.18,1,8,3.3,7,0.4,0.6599999999999999,0.891,0.30000000000000004,81.42,1
112,Plumbing,1,16.38,1,8,4.5,7,0.4,0.9,0.18100000000000005,0.30000000000000004,69.62,1
113,Carpentry,1,5.97,1,19,4.7,6,0.95,0.9400000000000001,0.7015,0.4,86.92999999999999,0
114,Painting,1,3.08,0,7,3.4,5,0.35,0.6799999999999999,0.846,0.5,67.22,0
115,Electrical,0,9.08,1,19,3.2,1,0.95,0.64,0.546,0.9,50.82,0
116,Electrical,1,13.06,1,6,3.0,6,0.3,0.6,0.347,0.4,69.94,0
117,Plumbing,1,7.93,1,6,4.3,10,0.3,0.86,0.6035,0.0,73.67,0
118,Cleaning,1,1.56,1,3,4.2,4,0.15,0.8400000000000001,0.922,0.6,84.34000000000002,1
119,Plumbing,1,12.19,1,7,4.1,5,0.35,0.82,0.39050000000000007,0.5,74.51,0
120,Cleaning,1,18.1,0,19,3.5,9,0.95,0.7,0.09499999999999997,0.09999999999999998,54.39999999999999,1
121,Electrical,1,7.97,1,8,3.8,7,0.4,0.76,0.6015,0.30000000000000004,76.63,0
122,Plumbing,0,4.72,1,10,4.2,7,0.5,0.8400000000000001,0.764,0.30000000000000004,46.68000000000001,1
123,Gardening,1,9.13,1,20,4.0,2,1.0,0.8,0.5435,0.8,86.87,1
124,Painting,1,1.44,1,15,5.0,6,0.75,1.0,0.928,0.4,90.06,1
125,Carpentry,0,16.5,1,15,3.3,0,0.75,0.6599999999999999,0.17500000000000004,1.0,42.6,0
126,Cleaning,0,16.61,0,1,4.4,0,0.05,0.8800000000000001,0.16949999999999998,1.0,22.69,0
127,Gardening,1,11.97,1,20,3.8,6,1.0,0.76,0.40149999999999997,0.4,79.63,0
128,Carpentry,1,7.39,0,7,3.9,9,0.35,0.78,0.6305000000000001,0.09999999999999998,59.91,0
129,Carpentry,0,16.1,1,4,4.4,8,0.2,0.8800000000000001,0.19499999999999995,0.19999999999999996,31.700000000000006,0
130,Plumbing,1,11.32,1,6,4.4,6,0.3,0.8800000000000001,0.43399999999999994,0.4,74.48000000000002,1
131,Carpentry,1,16.61,1,1,5.0,9,0.05,1.0,0.16949999999999998,0.09999999999999998,64.88999999999999,1
132,Painting,1,12.81,1,5,3.3,4,0.25,0.6599999999999999,0.35949999999999993,0.6,72.28999999999999,1
133,Gardening,1,15.8,1,1,3.2,7,0.05,0.64,0.20999999999999996,0.30000000000000004,64.1,1
134,Carpentry,1,12.17,0,4,4.4,1,0.2,0.8800000000000001,0.39149999999999996,0.9,62.629999999999995,1
135,Plumbing,1,8.58,1,2,4.2,8,0.1,0.8400000000000001,0.571,0.19999999999999996,72.82,0
136,Painting,1,19.18,1,10,3.5,5,0.5,0.7,0.041000000000000036,0.5,67.82000000000001,1
137,Electrical,1,11.05,1,5,3.2,8,0.25,0.64,0.4475,0.19999999999999996,69.85000000000001,1
138,Gardening,1,12.3,1,10,3.2,1,0.5,0.64,0.385,0.9,78.10000000000001,1
139,Carpentry,0,4.8,0,1,4.8,2,0.05,0.96,0.76,0.8,33.300000000000004,0
140,Plumbing,1,12.7,1,6,3.4,7,0.3,0.6799999999999999,0.365,0.30000000000000004,70.1,0
141,Electrical,1,11.65,0,13,3.6,0,0.65,0.72,0.4175,1.0,67.05,0
142,Electrical,1,4.1,1,15,3.5,9,0.75,0.7,0.795,0.09999999999999998,81.39999999999999,1
143,Cleaning,1,1.66,1,4,3.7,6,0.2,0.74,0.917,0.4,81.74,1
144,Painting,1,12.29,0,13,3.1,6,0.65,0.62,0.38550000000000006,0.4,59.41000000000001,1
145,Carpentry,1,15.39,1,20,4.0,0,1.0,0.8,0.23049999999999993,1.0,82.61,1
146,Plumbing,1,10.71,0,15,3.1,8,0.75,0.62,0.4644999999999999,0.19999999999999996,59.99000000000001,1
147,Cleaning,1,4.92,1,8,4.6,7,0.4,0.9199999999999999,0.754,0.30000000000000004,81.28,1
148,Painting,1,13.5,1,5,3.5,3,0.25,0.7,0.32499999999999996,0.7,72.99999999999999,1
149,Cleaning,1,2.06,0,15,4.1,9,0.75,0.82,0.897,0.09999999999999998,69.64,1
150,Gardening,1,9.12,1,4,4.8,10,0.2,0.96,0.544,0.0,72.48,1
151,Painting,1,3.69,0,12,4.3,4,0.6,0.86,0.8155,0.6,71.90999999999998,0
152,Painting,0,4.1,0,13,4.1,1,0.65,0.82,0.795,0.9,39.60000000000001,0
153,Carpentry,1,4.44,1,2,3.6,8,0.1,0.72,0.778,0.19999999999999996,75.76,1
154,Painting,1,8.04,1,19,3.7,5,0.95,0.74,0.5980000000000001,0.5,83.86,1
155,Cleaning,1,1.5,0,19,4.3,2,0.95,0.86,0.925,0.8,79.60000000000001,0
156,Painting,1,8.26,1,4,5.0,6,0.2,1.0,0.587,0.4,77.74,1
157,Carpentry,1,10.48,1,4,4.3,8,0.2,0.86,0.476,0.19999999999999996,72.11999999999999,1
158,Carpentry,1,9.92,1,11,4.1,2,0.55,0.82,0.504,0.8,81.78,1
159,Gardening,1,7.96,1,5,4.5,1,0.25,0.9,0.602,0.9,82.53999999999999,1
160,Cleaning,1,16.86,1,20,3.9,6,1.0,0.78,0.15700000000000003,0.4,74.94000000000001,1
161,Electrical,1,3.33,1,11,3.1,6,0.55,0.62,0.8335,0.4,82.37,1
162,Electrical,1,10.36,1,10,4.1,3,0.5,0.82,0.482,0.7,79.83999999999999,1
163,Painting,1,1.71,1,8,4.9,10,0.4,0.9800000000000001,0.9145,0.0,82.09,1
164,Gardening,1,1.89,1,6,3.4,8,0.3,0.6799999999999999,0.9055,0.19999999999999996,79.91,1
165,Plumbing,1,11.69,1,6,4.4,7,0.3,0.8800000000000001,0.4155,0.30000000000000004,73.11000000000001,1
166,Painting,0,11.54,0,8,3.4,0,0.4,0.6799999999999999,0.42300000000000004,1.0,29.259999999999998,1
167,Gardening,1,17.62,1,15,4.1,0,0.75,0.82,0.119,1.0,78.08,1
168,Cleaning,1,11.38,1,14,3.2,4,0.7,0.64,0.43099999999999994,0.6,78.02,1
169,Cleaning,1,19.22,1,11,3.9,5,0.55,0.78,0.039000000000000035,0.5,69.08000000000001,1
170,Cleaning,1,1.45,1,12,4.5,2,0.6,0.9,0.9275,0.8,91.55,1
171,Cleaning,1,2.41,1,13,3.7,8,0.65,0.74,0.8795,0.19999999999999996,83.49000000000001,1
172,Cleaning,1,1.36,0,8,4.3,9,0.4,0.86,0.9319999999999999,0.09999999999999998,67.24,1
173,Gardening,0,4.11,0,18,4.6,5,0.9,0.9199999999999999,0.7945,0.5,39.089999999999996,0
174,Gardening,1,11.05,1,1,4.9,3,0.05,0.9800000000000001,0.4475,0.7,76.25,1
175,Carpentry,1,13.09,1,15,3.5,6,0.75,0.7,0.34550000000000003,0.4,75.40999999999998,1
176,Electrical,1,1.39,1,8,3.8,7,0.4,0.76,0.9305,0.30000000000000004,83.21000000000001,1
177,Cleaning,1,18.95,1,11,3.3,8,0.55,0.6599999999999999,0.05249999999999999,0.19999999999999996,65.14999999999999,0
178,Plumbing,1,16.92,1,12,5.0,10,0.6,1.0,0.15399999999999991,0.0,69.08,1
179,Gardening,0,6.28,1,12,4.9,5,0.6,0.9800000000000001,0.6859999999999999,0.5,49.52,1
180,Plumbing,1,2.01,1,4,4.1,5,0.2,0.82,0.8995,0.5,83.19000000000001,1
181,Plumbing,1,3.81,0,16,4.7,7,0.8,0.9400000000000001,0.8095,0.30000000000000004,71.59,1
182,Plumbing,1,2.98,1,4,4.0,4,0.2,0.8,0.851,0.6,83.02000000000001,1
183,Carpentry,1,2.9,1,5,4.2,2,0.25,0.8400000000000001,0.855,0.8,86.00000000000001,0
184,Gardening,1,10.61,0,5,3.2,2,0.25,0.64,0.46950000000000003,0.8,61.29,0
185,Plumbing,1,5.29,1,8,4.5,5,0.4,0.9,0.7355,0.5,82.71000000000001,1
186,Cleaning,1,7.48,1,10,3.3,1,0.5,0.6599999999999999,0.626,0.9,83.11999999999999,1
187,Painting,1,19.8,1,17,4.7,5,0.85,0.9400000000000001,0.010000000000000009,0.5,73.1,0
188,Plumbing,1,13.84,1,9,4.6,5,0.45,0.9199999999999999,0.30800000000000005,0.5,74.86,1
189,Carpentry,1,19.01,1,19,4.4,7,0.95,0.8800000000000001,0.04949999999999988,0.30000000000000004,72.28999999999999,1
190,Gardening,1,3.28,0,14,3.1,6,0.7,0.62,0.8360000000000001,0.4,68.92,1
191,Carpentry,1,7.95,1,8,3.6,7,0.4,0.72,0.6025,0.30000000000000004,76.25,1
192,Plumbing,1,11.32,1,9,3.5,8,0.45,0.7,0.43399999999999994,0.19999999999999996,72.18,0
193,Gardening,1,2.0,0,11,3.7,5,0.55,0.74,0.9,0.5,70.9,0
194,Painting,1,0.58,1,1,3.2,2,0.05,0.64,0.971,0.8,84.32000000000002,1
195,Plumbing,1,13.57,1,14,4.9,9,0.7,0.9800000000000001,0.3215,0.09999999999999998,74.22999999999999,1
196,Carpentry,0,13.02,1,5,4.1,2,0.25,0.82,0.349,0.8,40.68,0
197,Electrical,0,8.51,1,14,3.6,10,0.7,0.72,0.5745,0.0,40.690000000000005,1
198,Cleaning,1,10.05,0,4,3.8,0,0.2,0.76,0.49749999999999994,1.0,64.55,0
199,Carpentry,1,8.6,1,1,3.9,10,0.05,0.78,0.5700000000000001,0.0,69.7,0
200,Gardening,1,0.97,1,19,4.2,4,0.95,0.8400000000000001,0.9515,0.6,92.93,1
201,Plumbing,1,7.04,1,8,4.0,3,0.4,0.8,0.648,0.7,81.96,1
202,Cleaning,1,3.95,0,15,4.8,8,0.75,0.96,0.8025,0.19999999999999996,70.14999999999999,1
203,Plumbing,0,2.42,1,15,4.0,8,0.75,0.8,0.879,0.19999999999999996,50.080000000000005,1
204,Gardening,1,19.16,1,9,5.0,4,0.45,1.0,0.04200000000000004,0.6,71.34,0
205,Plumbing,1,12.19,1,9,4.7,9,0.45,0.9400000000000001,0.39050000000000007,0.09999999999999998,72.71,1
206,Electrical,1,14.71,0,10,3.4,3,0.5,0.6799999999999999,0.26449999999999996,0.7,59.08999999999999,1
207,Cleaning,1,6.65,1,20,4.9,6,1.0,0.9800000000000001,0.6675,0.4,87.14999999999999,1
208,Cleaning,1,8.17,1,9,3.2,5,0.45,0.64,0.5915,0.5,77.73,1
209,Gardening,1,5.12,1,3,4.6,3,0.15,0.9199999999999999,0.744,0.7,82.58,1
210,Electrical,1,2.39,1,20,3.8,9,1.0,0.76,0.8805,0.09999999999999998,86.21000000000001,1
211,Carpentry,1,3.99,1,11,4.8,1,0.55,0.96,0.8005,0.9,90.11,1
212,Plumbing,1,16.05,1,6,4.7,0,0.3,0.9400000000000001,0.1975,1.0,76.35,1
213,Painting,1,13.71,0,2,4.6,3,0.1,0.9199999999999999,0.3145,0.7,58.489999999999995,0
214,Plumbing,0,11.17,1,7,4.6,3,0.35,0.9199999999999999,0.4415,0.7,43.529999999999994,0
215,Plumbing,1,9.76,1,18,3.6,0,0.9,0.72,0.512,1.0,86.43999999999998,1
216,Carpentry,0,18.49,1,2,3.2,5,0.1,0.64,0.07550000000000012,0.5,28.910000000000004,0
217,Plumbing,1,1.92,0,17,3.8,3,0.85,0.76,0.904,0.7,76.17999999999999,1
218,Electrical,1,5.97,0,11,3.3,0,0.55,0.6599999999999999,0.7015,1.0,71.13,0
219,Electrical,1,7.32,1,12,4.4,0,0.6,0.8800000000000001,0.634,1.0,87.48000000000002,1
220,Cleaning,1,15.76,1,19,3.7,0,0.95,0.74,0.21199999999999997,1.0,81.13999999999999,0
221,Gardening,0,19.85,1,7,5.0,7,0.35,1.0,0.007499999999999951,0.30000000000000004,31.65,0
222,Painting,1,5.19,0,20,4.3,9,1.0,0.86,0.7404999999999999,0.09999999999999998,69.41,1
223,Plumbing,1,17.55,1,6,4.6,7,0.3,0.9199999999999999,0.12249999999999994,0.30000000000000004,67.65,1
224,Plumbing,1,16.7,1,1,3.3,1,0.05,0.6599999999999999,0.16500000000000004,0.9,69.39999999999999,1
225,Carpentry,0,4.88,0,17,4.7,10,0.85,0.9400000000000001,0.756,0.0,33.02,0
226,Gardening,1,8.29,0,11,4.8,6,0.55,0.96,0.5855,0.4,65.81,1
227,Electrical,0,8.49,1,18,4.0,7,0.9,0.8,0.5755,0.30000000000000004,46.510000000000005,1
228,Painting,0,19.58,1,17,4.2,7,0.85,0.8400000000000001,0.02100000000000013,0.30000000000000004,35.32000000000001,0
229,Cleaning,1,4.03,1,7,4.5,10,0.35,0.9,0.7985,0.0,78.47000000000001,0
230,Electrical,1,16.08,1,17,3.3,9,0.85,0.6599999999999999,0.19600000000000006,0.09999999999999998,70.02,1
231,Gardening,1,7.02,1,20,4.0,10,1.0,0.8,0.649,0.0,80.98,1
232,Cleaning,0,14.75,0,9,3.8,6,0.45,0.76,0.26249999999999996,0.4,21.35,0
233,Carpentry,1,8.69,1,17,3.3,4,0.85,0.6599999999999999,0.5655,0.6,82.40999999999998,1
234,Carpentry,1,11.78,1,20,3.7,0,1.0,0.74,0.41100000000000003,1.0,85.61999999999999,1
235,Plumbing,1,16.74,1,8,3.1,8,0.4,0.62,0.16300000000000003,0.19999999999999996,65.46000000000001,1
236,Gardening,1,16.18,1,17,3.1,6,0.85,0.62,0.19100000000000006,0.4,72.52000000000001,1
237,Painting,1,17.4,1,7,3.3,1,0.35,0.6599999999999999,0.13000000000000012,0.9,71.7,1
238,Cleaning,1,1.66,1,1,4.9,5,0.05,0.9800000000000001,0.917,0.5,83.64,1
239,Electrical,1,13.99,1,13,4.1,1,0.65,0.82,0.3005,0.9,79.71,1
240,Gardening,1,3.23,1,19,4.9,0,0.95,0.9800000000000001,0.8385,1.0,96.07,1
241,Gardening,1,8.61,1,19,3.9,6,0.95,0.78,0.5695,0.4,82.69,0
242,Carpentry,1,11.2,0,17,3.6,1,0.85,0.72,0.44000000000000006,0.9,68.5,0
243,Plumbing,1,8.35,0,13,4.0,1,0.65,0.8,0.5825,0.9,70.14999999999999,0
244,Plumbing,1,10.63,1,16,3.9,10,0.8,0.78,0.4684999999999999,0.0,75.17,1
245,Cleaning,0,19.93,1,8,3.2,4,0.4,0.64,0.0035000000000000586,0.6,31.470000000000002,0
246,Carpentry,1,3.14,0,19,4.3,4,0.95,0.86,0.843,0.6,75.95999999999998,0
247,Gardening,1,13.67,1,18,3.4,6,0.9,0.6799999999999999,0.3165,0.4,76.13,1
248,Painting,1,8.22,0,1,4.2,0,0.05,0.8400000000000001,0.589,1.0,65.67999999999999,0
249,Carpentry,1,3.09,1,14,4.3,7,0.7,0.86,0.8455,0.30000000000000004,85.50999999999999,0
250,Cleaning,1,3.6,1,19,3.3,2,0.95,0.6599999999999999,0.8200000000000001,0.8,90.5,1
251,Cleaning,1,19.01,1,15,3.1,3,0.75,0.62,0.04949999999999988,0.7,71.69,1
252,Carpentry,1,17.65,1,18,4.6,8,0.9,0.9199999999999999,0.11750000000000005,0.19999999999999996,72.55,1
253,Cleaning,1,18.19,1,2,3.9,3,0.1,0.78,0.09049999999999991,0.7,67.61,0
254,Carpentry,1,19.83,0,17,3.1,9,0.85,0.62,0.008500000000000063,0.09999999999999998,50.870000000000005,1
255,Electrical,0,4.56,1,18,5.0,4,0.9,1.0,0.772,0.6,55.44,1
256,Carpentry,1,7.43,1,6,3.1,6,0.3,0.62,0.6285000000000001,0.4,75.77000000000001,1
257,Carpentry,0,13.55,1,19,4.4,3,0.95,0.8800000000000001,0.3225,0.7,46.75,1
258,Cleaning,1,9.93,1,4,5.0,0,0.2,1.0,0.5035000000000001,1.0,82.07,1
259,Cleaning,1,8.66,0,1,3.5,8,0.05,0.7,0.567,0.19999999999999996,55.84,0
260,Plumbing,1,7.48,1,8,3.3,3,0.4,0.6599999999999999,0.626,0.7,80.11999999999999,1
261,Plumbing,1,12.08,1,7,3.2,8,0.35,0.64,0.396,0.19999999999999996,69.82,1
262,Electrical,1,11.72,1,3,3.6,5,0.15,0.72,0.4139999999999999,0.5,71.98,0
263,Plumbing,1,3.65,1,10,3.2,0,0.5,0.64,0.8175,1.0,87.75,1
